datasets,lf,iter,cv,max_epoch_pmf,max_epoch_bpmf,pmf_time,bpmf_time,total_time,pmf_rmse,bpmf_rmse
jester,5,1,1,5,5,70.2157809734344,1577.71351385117,1647.93352985382,0.8724300424287764,0.8351176565909564
jester,20,1,1,5,5,107.646204948425,1690.55355000496,1798.20375609398,0.8670099986848173,0.8218569134531669
jester,50,1,1,5,5,192.985537052155,1716.13481497765,1909.12434196472,0.862088349918417,0.8208137487660742
jester,99,1,1,5,5,316.854861021042,1959.98276901245,2276.84163117409,0.8602734385033588,0.8206494562168544
jester,5,2,1,25,25,363.714953899384,7920.22453784943,8283.94348692894,0.8382081620318442,0.8315893398355152
jester,20,2,1,25,25,538.322327852249,8039.34676909447,8577.67309808731,0.853606867119353,0.8121436236536821
jester,50,2,1,25,25,978.146076202393,8458.07046508789,9436.22053217888,0.8844425675397872,0.8094045358516081
jester,99,2,1,25,25,1579.52195191383,9519.50501990318,11099.030962944,0.8977071914705833,0.8090376478918786
jester,5,3,1,50,50,712.99754691124,15862.9673099518,16575.9828498363,0.842145379361256,0.8310611502364066
jester,20,3,1,50,50,1081.2437479496,16215.8248949051,17297.084635973,0.8811381926215623,0.8106068582866592
jester,50,3,1,50,50,1870.7603969574,16948.1307008266,18818.895100832,0.9386928676267206,0.8069993331753852
jester,99,3,1,50,50,3114.40133500099,18848.8339540958,21963.2390499115,0.9008300486877028,0.8070103490150191
jester,5,4,1,75,25,1079.17104887962,8005.12299013138,9084.31104302406,0.8446173903773353,0.8317372503452934
jester,20,4,1,75,25,1571.77253890038,8094.48990297318,9666.26644301414,0.8955247470453658,0.8125684665885083
jester,50,4,1,75,25,2705.35769701004,8495.23592996597,11200.597618103,0.9668195968215282,0.8093048258956995
jester,99,4,1,75,25,4537.81095695496,9404.85029292107,13942.6862459183,0.8872011042513801,0.8090400930315229
jester,5,1,2,5,5,73.4283030033112,1606.6682639122,1680.10056996346,0.871335013692373,0.8335742017134502
jester,20,1,2,5,5,118.010921001434,1637.40268683434,1755.41759991646,0.86557215900407,0.8205993133179934
jester,50,1,2,5,5,192.754302024841,1680.65000200272,1873.40830492973,0.8607259625339085,0.81970213023598
jester,99,1,2,5,5,312.582891941071,1909.75434684753,2222.3412399292,0.8588336623039137,0.819970126645949
jester,5,2,2,25,25,359.549809217453,7987.24338006973,8346.79719018936,0.8359088074317759,0.8297218724769437
jester,20,2,2,25,25,546.984863042831,8105.92000603676,8652.90886998177,0.8523347386132303,0.8110618888158447
jester,50,2,2,25,25,909.432928085327,8479.51404309273,9388.95195412636,0.882046753338931,0.8082438427149118
jester,99,2,2,25,25,1568.89062190056,9387.22875881195,10956.1373748779,0.8964421151669177,0.8080739158106504
