datasets,lf,iter,cv,max_epoch_pmf,max_epoch_bpmf,pmf_time,bpmf_time,total_time,pmf_rmse,bpmf_rmse
ML10M,5,1,1,5,5,165.12634396553,3791.96248197556,3957.09282684326,0.8741432656432983,0.8169414889688194
ML10M,20,1,1,5,5,279.736479997635,3835.27712512016,4115.01660513878,0.8623637715793654,0.7998363094520503
ML10M,50,1,1,5,5,496.435577869415,3941.51482987404,4437.95440888405,0.8552331964239954,0.7973527252194536
ML10M,100,1,1,5,5,815.135837078094,4188.3833668232,5003.53386688232,0.8520828905049838,0.7963785168321326
ML10M,5,2,1,25,25,844.545518875122,19034.0019869804,19878.5515089035,0.8124324796590561,0.8080407608113931
ML10M,20,2,1,25,25,1327.77933692932,19202.1447608471,20529.928098917,0.7978812933716798,0.7791119264864479
ML10M,50,2,1,25,25,2370.86059498787,19697.5813632011,22068.4459600449,0.8166726862149685,0.7753002297064278
ML10M,100,2,1,25,25,4036.62018704414,20948.8880579472,24985.5322499275,0.8398042283252307,0.7749906209576074
ML10M,5,3,1,50,50,1656.13499498367,38090.9628531933,39747.1178331375,0.8113315125123831,0.8075923943234076
ML10M,20,3,1,50,50,2678.10809803009,38435.7962470055,41113.9313521385,0.8018558997224952,0.7770995094186562
ML10M,50,3,1,50,50,4744.26452898979,39388.0268559456,44132.3103890419,0.835301617214829,0.7717547386862151
ML10M,100,3,1,50,50,8035.37634110451,41892.4284591675,49927.828785181,0.8692062390154557,0.7715819501541611
ML10M,5,4,1,75,25,2504.75168800354,19039.6240570545,21544.4007508755,0.8118265563166958,0.8079780271064941
ML10M,20,4,1,75,25,3972.16213989258,19214.3953750134,23186.5615360737,0.8063973214211592,0.7780786667383675
ML10M,50,4,1,75,25,7141.87680220604,19688.478621006,26830.3744270802,0.8471205050889883,0.7730539269124675
ML10M,100,4,1,75,25,12068.6466591358,20952.5197360516,33021.1884000301,0.8849843743231391,0.7727167698680277
ML10M,5,1,2,5,5,169.895243883133,3809.99179792404,3979.89004278183,0.87254790319163,0.8166787624655564
ML10M,20,1,2,5,5,275.883320808411,3844.09153199196,4119.99385690689,0.861972230800413,0.7994144101024837
ML10M,50,1,2,5,5,506.243922948837,3946.17821121216,4452.42613506317,0.8551491298654793,0.7970924534699534
ML10M,100,1,2,5,5,825.393217086792,4204.05053400993,5029.44774913788,0.8514827408862842,0.7960551624090247
ML10M,5,2,2,25,25,855.133523225784,19064.6465330124,19919.7840571404,0.8121224382272249,0.8076952468937968
ML10M,20,2,2,25,25,1358.60839486122,19239.2858119011,20597.8982079029,0.7974803397932256,0.7786367080488488
ML10M,50,2,2,25,25,2496.765198946,19719.1571581364,22215.9503450394,0.8157106889377589,0.7747741241062734
