datasets,lf,iter,cv,max_epoch_pmf,max_epoch_bpmf,pmf_time,bpmf_time,total_time,pmf_rmse,bpmf_rmse
book-crossing,5,1,1,5,5,9.2280740737915,4394.91154408455,4404.14361906052,1.8433183419788965,1.8448016099679099
book-crossing,20,1,1,5,5,18.2906928062439,4358.7258348465,4377.02052783966,1.8436892899320292,1.8449658987380908
book-crossing,50,1,1,5,5,30.9901900291443,4094.43544602394,4125.42963600159,1.8445173579467464,1.844923162603672
book-crossing,100,1,1,5,5,49.2120759487152,4387.95343780518,4437.16948485374,1.8465638051236593,1.8455799438209097
book-crossing,5,2,1,25,25,36.023973941803,22064.1348659992,22100.1628398895,1.857694768461867,1.83590657125611
book-crossing,20,2,1,25,25,87.3835430145264,21868.5859050751,21955.987445116,1.8563138051010903,1.819988862406988
book-crossing,50,2,1,25,25,138.587626934052,20459.7864570618,20598.3920879364,1.860767975643151,1.8147967124824844
book-crossing,100,2,1,25,25,233.818841934204,22048.0032830238,22281.8260130882,1.8668256363924385,1.8187922902855345
book-crossing,5,3,1,50,50,73.7595698833466,44370.5407159328,44444.3042869568,1.9009055594550108,1.8844868861164952
book-crossing,20,3,1,50,50,160.975919961929,43792.71113801,43953.7098839283,1.8990642478807431,1.8708452054211917
book-crossing,50,3,1,50,50,282.889641046524,40719.109416008,41002.0040428638,1.8937770502297087,1.8586233927690756
book-crossing,100,3,1,50,50,460.776662111282,43773.6703491211,44234.4710171223,1.888004374518899,1.8392571439616976
book-crossing,5,4,1,75,25,105.693584918976,22069.7033979893,22175.4159867764,1.952420785379498,1.8552864878449769
book-crossing,20,4,1,75,25,263.910078048706,21859.9225468636,22123.8366260529,1.93404175062502,1.8342721289538355
book-crossing,50,4,1,75,25,423.836353063583,20480.9370698929,20904.791426897,1.908406111416045,1.8121109545735157
book-crossing,100,4,1,75,25,692.032984018326,21951.5626370907,22643.5995149612,1.8926871747119067,1.808815198467879
book-crossing,5,1,2,5,5,7.3586540222168,4409.10223793983,4416.47689509392,1.8488326864043725,1.8513410462873745
book-crossing,20,1,2,5,5,17.9822528362274,4372.13858389854,4390.12482190132,1.8491238816078965,1.8509963810206893
book-crossing,50,1,2,5,5,31.0149390697479,4080.43851613998,4111.45745611191,1.850255203056398,1.8510019448821622
book-crossing,100,1,2,5,5,49.6161580085754,4393.80112504959,4443.42128992081,1.8523453450402667,1.8523956729253401
book-crossing,5,2,2,25,25,35.516988992691,22057.2615158558,22092.7825059891,1.8616525045121608,1.8383015051154525
