datasets,lf,iter,cv,max_epoch_pmf,max_epoch_bpmf,pmf_time,bpmf_time,total_time,pmf_rmse,bpmf_rmse
ML100k,5,1,1,5,5,2.54858994483948,172.381642103195,174.934235095978,0.9720514646738976,0.8974021071711638
ML100k,20,1,1,5,5,5.78429794311523,177.84450507164,183.633039951324,0.9605266418867513,0.8917708305394303
ML100k,50,1,1,5,5,13.7870860099792,195.769556999207,209.559644937515,0.9799012528355384,0.8939260641881308
ML100k,100,1,1,5,5,29.3343889713287,239.6989569664,269.03733587265,0.9917134335831382,0.8960002998385261
ML100k,5,2,1,25,25,12.7529830932617,869.4574239254,882.213638067245,0.9567400191690446,0.8896970041444865
ML100k,20,2,1,25,25,29.2217800617218,890.407422065735,919.633203029633,1.0502495145276645,0.8782519805261142
ML100k,50,2,1,25,25,94.0033872127533,980.760967969894,1074.76835608482,1.0445895100214309,0.8804001201313629
ML100k,100,2,1,25,25,126.536270141602,1200.61881494522,1327.15908908844,0.9849616129187926,0.8797640501302704
ML100k,5,3,1,50,50,25.8958940505981,1741.44834709167,1767.34824204445,0.9698092162430811,0.88689235018293
ML100k,20,3,1,50,50,59.7527420520782,1794.58670806885,1854.3434510231,1.0800705949596683,0.8765538809534874
ML100k,50,3,1,50,50,169.667611122131,1960.93723702431,2130.60884904861,1.0470379288411262,0.878043981942581
ML100k,100,3,1,50,50,282.174242973328,2401.28711700439,2683.46536111832,0.9665233571466958,0.878271639483035
ML100k,5,4,1,75,25,38.5247640609741,885.06876206398,923.59752702713,0.9792343317890942,0.8874120803397494
ML100k,20,4,1,75,25,86.0386600494385,898.178401947021,984.221063137054,1.0967292885567206,0.8779921279086984
ML100k,50,4,1,75,25,273.345335006714,982.559237003326,1255.90868496895,1.0437297957426057,0.8779254846745569
ML100k,100,4,1,75,25,451.096475839615,1203.90182089806,1655.00129795074,0.955891927900293,0.8795595112254098
ML100k,5,1,2,5,5,2.42956399917603,173.96747803688,176.401042938232,0.9496809952109905,0.8930371569595901
ML100k,20,1,2,5,5,5.9273579120636,180.344194889069,186.275553941727,0.9617090454492481,0.8899392462740577
ML100k,50,1,2,5,5,14.4351089000702,196.911105155945,211.350214958191,0.9784014182163834,0.8901034527804608
ML100k,100,1,2,5,5,31.4914541244507,242.406244039536,273.901709079742,0.9877973724523645,0.8928501918104588
ML100k,5,2,2,25,25,12.6499979496002,875.059731006622,887.713618993759,0.9529110137868914,0.8812005608544895
ML100k,20,2,2,25,25,28.5785019397736,900.281404972076,928.863907814026,1.0493888063560755,0.8774680268960422
ML100k,50,2,2,25,25,95.2400670051575,985.013600111008,1080.25666809082,1.0370652715553101,0.8735427335166958
ML100k,100,2,2,25,25,135.777209997177,1204.9524140358,1340.73362612724,0.9804085186446023,0.8776150352096311
ML100k,5,3,2,50,50,24.4625639915466,1752.25423789024,1776.72080397606,0.967658769690001,0.8811866294777998
ML100k,20,3,2,50,50,54.3913578987122,1803.90519785881,1858.30057382584,1.079874552233035,0.8761424589963439
ML100k,50,3,2,50,50,162.19091296196,1970.72789001465,2132.93678593636,1.0390972420871971,0.8707327940778208
ML100k,100,3,2,50,50,289.361061096191,2409.49929285049,2698.86435699463,0.9628230977241744,0.8742350389593054
ML100k,5,4,2,75,25,33.6896810531616,885.807193994522,919.501859903336,0.9761913361737982,0.8830712887860956
ML100k,20,4,2,75,25,85.631471157074,905.393337011337,991.028808116913,1.0947295303116564,0.8785785273966958
ML100k,50,4,2,75,25,267.150886058807,987.208878040314,1254.3637650013,1.0359329433876385,0.8729583484320615
ML100k,100,4,2,75,25,372.528293132782,1205.80496501923,1578.33925914764,0.952350451771395,0.8769570894364863
ML100k,5,1,3,5,5,2.31452608108521,174.763206005096,177.081732988358,0.9365181944145989,0.8896770033988778
ML100k,20,1,3,5,5,5.31320810317993,179.662940979004,184.980150938034,0.9570968447825691,0.8844244102334391
ML100k,50,1,3,5,5,12.8039138317108,196.35188293457,209.159797906876,0.975778946738986,0.889174562838581
ML100k,100,1,3,5,5,29.36168217659,242.812189817429,272.1778819561,0.9822590113209759,0.8894526565145031
ML100k,5,2,3,25,25,12.3378059864044,880.265398025513,892.607205152512,0.9552946967692432,0.8841114495793545
ML100k,20,2,3,25,25,30.1379580497742,904.133613109589,934.274581193924,1.0473673366140877,0.8756865505878005
ML100k,50,2,3,25,25,83.5802729129791,988.919677019119,1072.50395107269,1.0398192388865886,0.8750930922930267
ML100k,100,2,3,25,25,136.172075033188,1208.54761600494,1344.72368907928,0.9774349337240731,0.8772958614792911
ML100k,5,3,3,50,50,26.7229061126709,1764.78519797325,1791.51211500168,0.9702174560245681,0.88438349157444
ML100k,20,3,3,50,50,56.5403859615326,1815.95395088196,1872.49833798409,1.0807523529549932,0.8745820092404112
ML100k,50,3,3,50,50,176.32842206955,1982.26244401932,2158.59486794472,1.0421383152553958,0.8752176595954722
ML100k,100,3,3,50,50,300.552976131439,2419.03922605515,2719.59590506554,0.9603644410420161,0.8727434205095714
ML100k,5,4,3,75,25,38.256707906723,880.824306964874,919.085011959076,0.9814827125654491,0.887649740981194
ML100k,20,4,3,75,25,87.0099198818207,906.72309589386,993.737017869949,1.0951715455189561,0.8754593701585938
ML100k,50,4,3,75,25,296.198931932449,991.992644071579,1288.19557714462,1.038495760751089,0.8759797696588797
ML100k,100,4,3,75,25,399.262925863266,1211.16864681244,1610.435754776,0.9507454205519765,0.874747553461699
ML100k,5,1,4,5,5,2.39855694770813,176.15304684639,178.555604934692,0.9436666677925979,0.8935052011679363
ML100k,20,1,4,5,5,6.24273896217346,180.739641189575,186.986493110657,0.95240952661538,0.8916308498674281
ML100k,50,1,4,5,5,15.294420003891,198.29594707489,213.594367027283,0.9751872005075719,0.8921808043321554
ML100k,100,1,4,5,5,27.7154719829559,243.396858930588,271.116332054138,0.9784896463747096,0.8929594253099028
ML100k,5,2,4,25,25,13.0750980377197,894.019329786301,907.098316907883,0.9535015932309066,0.8885557739807989
ML100k,20,2,4,25,25,27.6543469429016,905.210429906845,932.868777036667,1.0456109299586323,0.8781424115854627
ML100k,50,2,4,25,25,80.137296915054307,990.766034126282,1070.90733098984,1.0347323201024772,0.8753544957610453
ML100k,100,2,4,25,25,130.550625085831,1212.69692087173,1343.25154685974,0.9715595224768355,0.8770179426589301
ML100k,5,3,4,50,50,23.3943228721619,1764.04088783264,1787.43921089172,0.9697604623859546,0.8883910689848672
ML100k,20,3,4,50,50,55.469496011734,1817.09966015816,1872.57328605652,1.080034168429052,0.8765068769314147
ML100k,50,3,4,50,50,170.020500183105,1984.28013706207,2154.30363702774,1.0368686043589115,0.8736146667903743
ML100k,100,3,4,50,50,304.06643819809,2425.46244001389,2729.54489302635,0.9535473657787019,0.8750879764595398
ML100k,5,4,4,75,25,37.6966121196747,895.832948923111,933.534548997879,0.9778454018352924,0.8897892698916346
ML100k,20,4,4,75,25,86.6454920768738,909.104469060898,995.753962039948,1.0966733091115148,0.8783279295154928
ML100k,50,4,4,75,25,280.748471021652,995.903162002563,1276.65563297272,1.0339095724788925,0.8755189117831252
ML100k,100,4,4,75,25,398.450603961945,1211.68511605263,1610.13972091675,0.9429357352125345,0.8778614371140172
ML100k,5,1,5,5,5,2.66473793983459,177.66540813446,180.334015130997,0.9256682429696307,0.8818301529564213
ML100k,20,1,5,5,5,5.785315990448,182.828815937042,188.618133068085,0.9449214640766265,0.8817921662725583
ML100k,50,1,5,5,5,14.975426197052,198.545762062073,213.525189161301,0.9694917056416307,0.8830138865006981
ML100k,100,1,5,5,5,28.2314231395721,243.870399951935,272.105823993683,0.9696136390677985,0.8850088713429751
ML100k,5,2,5,25,25,12.393816947937,895.222015142441,907.619832992554,0.943293872715028,0.8786409970103142
ML100k,20,2,5,25,25,27.3692438602448,910.882369995117,938.255617856979,1.0415037081494642,0.8693105009582198
ML100k,50,2,5,25,25,77.5776538848877,991.884034156799,1069.46567201614,1.0390040056278123,0.870893371884556
ML100k,100,2,5,25,25,135.481900930405,1214.35006713867,1349.83596897125,0.9644718617267318,0.8684141895420352
ML100k,5,3,5,50,50,25.248083114624,1769.03538107872,1794.28746509552,0.955123262088791,0.8758871424216409
ML100k,20,3,5,50,50,55.7096700668335,1823.42474985123,1879.13841795921,1.073021696083862,0.8687168198524846
