datasets,lf,iter,cv,max_epoch_pmf,max_epoch_bpmf,pmf_time,bpmf_time,total_time,pmf_rmse,bpmf_rmse
ML1M,5,1,1,5,5,18.0942060947418,184.043089866638,202.142297029495,1.1111773520976402,0.8890628640533396
ML100k,5,1,1,5,5,2.54858994483948,172.381642103195,174.934235095978,0.9720514646738976,0.8974021071711638
ML1M,20,1,1,5,5,27.4197840690613,186.558706998825,213.982491970062,1.0918518398543187,0.8769545988271669
ML100k,20,1,1,5,5,5.78429794311523,177.84450507164,183.633039951324,0.9605266418867513,0.8917708305394303
ML1M,50,1,1,5,5,43.4704391956329,193.194576978683,236.669017076492,1.0650620731845937,0.8702913605733545
ML100k,50,1,1,5,5,13.7870860099792,195.769556999207,209.559644937515,0.9799012528355384,0.8939260641881308
ML1M,100,1,1,5,5,79.4933228492737,213.999945878983,293.497271776199,1.0450223223846153,0.8662742474324834
ML100k,100,1,1,5,5,29.3343889713287,239.6989569664,269.03733587265,0.9917134335831382,0.8960002998385261
ML1M,5,2,1,25,25,81.2247607707977,920.807244062424,1002.03600597382,0.8807318486912851,0.8566832241583591
ML100k,5,2,1,25,25,12.7529830932617,869.4574239254,882.213638067245,0.9567400191690446,0.8896970041444865
ML1M,20,2,1,25,25,129.480319023132,934.111061096191,1063.5953810215,0.8819745122052443,0.8406028968627691
ML100k,20,2,1,25,25,29.2217800617218,890.407422065735,919.633203029633,1.0502495145276645,0.8782519805261142
ML1M,50,2,1,25,25,237.512001991272,969.562570095062,1207.07860803604,0.9047896560088066,0.8392722603818407
ML100k,50,2,1,25,25,94.0033872127533,980.760967969894,1074.76835608482,1.0445895100214309,0.8804001201313629
ML1M,100,2,1,25,25,393.282160043716,1076.51401591301,1469.80017709732,0.9307201247011175,0.8385594616856893
ML100k,100,2,1,25,25,126.536270141602,1200.61881494522,1327.15908908844,0.9849616129187926,0.8797640501302704
ML1M,5,3,1,50,50,163.41366815567,1858.95286989212,2022.37053799629,0.8693584999671553,0.8568745755258577
ML100k,5,3,1,50,50,25.8958940505981,1741.44834709167,1767.34824204445,0.9698092162430811,0.88689235018293
ML1M,20,3,1,50,50,261.33337688446,1883.89576101303,2145.23313784599,0.8880324197630781,0.8404709033278959
ML100k,20,3,1,50,50,59.7527420520782,1794.58670806885,1854.3434510231,1.0800705949596683,0.8765538809534874
ML1M,50,3,1,50,50,504.267109155655,1948.03180193901,2452.30290913582,0.9421774163583231,0.8383255399078138
ML100k,50,3,1,50,50,169.667611122131,1960.93723702431,2130.60884904861,1.0470379288411262,0.878043981942581
ML1M,100,3,1,50,50,802.874689102173,2162.14837384224,2965.02704501152,0.9870031073008647,0.8375306316419974
ML100k,100,3,1,50,50,282.174242973328,2401.28711700439,2683.46536111832,0.9665233571466958,0.878271639483035
ML1M,5,4,1,75,25,247.301654100418,929.743337154388,1177.0488011837,0.8676920843761402,0.8567133453926628
ML100k,5,4,1,75,25,38.5247640609741,885.06876206398,923.59752702713,0.9792343317890942,0.8874120803397494
ML1M,20,4,1,75,25,381.037224054337,943.437590122223,1324.47881507874,0.896179929021355,0.8424513140293894
ML100k,20,4,1,75,25,86.0386600494385,898.178401947021,984.221063137054,1.0967292885567206,0.8779921279086984
ML1M,50,4,1,75,25,712.679819107056,975.759902000427,1688.44372200966,0.965142121484984,0.8408370211723879
ML100k,50,4,1,75,25,273.345335006714,982.559237003326,1255.90868496895,1.0437297957426057,0.8779254846745569
ML1M,100,4,1,75,25,1224.15615296364,1081.17567706108,2305.33683109283,1.0163241294778689,0.839628075368785
ML100k,100,4,1,75,25,451.096475839615,1203.90182089806,1655.00129795074,0.955891927900293,0.8795595112254098
ML1M,5,1,2,5,5,17.998095035553,185.669290065765,203.670385122299,1.1130187781942384,0.8850276389824051
ML100k,5,1,2,5,5,2.42956399917603,173.96747803688,176.401042938232,0.9496809952109905,0.8930371569595901
ML1M,20,1,2,5,5,28.655501127243,187.972570896149,216.631083011627,1.0940127865877687,0.8772198433041164
ML100k,20,1,2,5,5,5.9273579120636,180.344194889069,186.275553941727,0.9617090454492481,0.8899392462740577
ML1M,50,1,2,5,5,43.4789619445801,195.153792142868,238.63675403595,1.067321211299809,0.8694563933906091
ML100k,50,1,2,5,5,14.4351089000702,196.911105155945,211.350214958191,0.9784014182163834,0.8901034527804608
ML1M,100,1,2,5,5,82.2323689460754,216.862586021423,299.098942041397,1.046349101166994,0.8642112392998137
ML100k,100,1,2,5,5,31.4914541244507,242.406244039536,273.901709079742,0.9877973724523645,0.8928501918104588
ML1M,5,2,2,25,25,83.5972490310669,929.640887975693,1013.2421309948,0.8766389623067474,0.8546636850607497
ML100k,5,2,2,25,25,12.6499979496002,875.059731006622,887.713618993759,0.9529110137868914,0.8812005608544895
ML1M,20,2,2,25,25,130.340379953384,943.582015991211,1073.92539596558,0.8818229865513832,0.8386005873972281
ML100k,20,2,2,25,25,28.5785019397736,900.281404972076,928.863907814026,1.0493888063560755,0.8774680268960422
ML1M,50,2,2,25,25,241.388550043106,974.499913930893,1215.89246296883,0.9028824304269316,0.8370800334210933
ML100k,50,2,2,25,25,95.2400670051575,985.013600111008,1080.25666809082,1.0370652715553101,0.8735427335166958
ML1M,100,2,2,25,25,401.833225011826,1080.54283189774,1482.37905693054,0.9298237521831849,0.836838780882886
ML100k,100,2,2,25,25,135.777209997177,1204.9524140358,1340.73362612724,0.9804085186446023,0.8776150352096311
ML1M,5,3,2,50,50,164.728527069092,1863.78648400307,2028.51901221275,0.8674841103731729,0.8535793314305402
ML100k,5,3,2,50,50,24.4625639915466,1752.25423789024,1776.72080397606,0.967658769690001,0.8811866294777998
ML1M,20,3,2,50,50,251.889441013336,1892.69933891296,2144.59278106689,0.8883344044561297,0.8380294445498769
ML100k,20,3,2,50,50,54.3913578987122,1803.90519785881,1858.30057382584,1.079874552233035,0.8761424589963439
ML1M,50,3,2,50,50,461.831753015518,1954.56864881516,2416.40440297127,0.941781838282547,0.8358281799078797
ML100k,50,3,2,50,50,162.19091296196,1970.72789001465,2132.93678593636,1.0390972420871971,0.8707327940778208
ML1M,100,3,2,50,50,784.788545131683,2165.07503390312,2949.86759495735,0.9863319415069352,0.8348132889398618
ML100k,100,3,2,50,50,289.361061096191,2409.49929285049,2698.86435699463,0.9628230977241744,0.8742350389593054
ML1M,5,4,2,75,25,240.355705022812,933.23200917244,1173.59170222282,0.8668177593738028,0.855736611823353
ML100k,5,4,2,75,25,33.6896810531616,885.807193994522,919.501859903336,0.9761913361737982,0.8830712887860956
ML1M,20,4,2,75,25,385.045592069626,945.230406999588,1330.27899909019,0.896143162702891,0.8401950113515133
ML100k,20,4,2,75,25,85.631471157074,905.393337011337,991.028808116913,1.0947295303116564,0.8785785273966958
ML1M,50,4,2,75,25,710.883275032043,977.893169879913,1688.78044486046,0.9646826902944959,0.838561748403657
ML100k,50,4,2,75,25,267.150886058807,987.208878040314,1254.3637650013,1.0359329433876385,0.8729583484320615
ML1M,100,4,2,75,25,1258.38722586632,1083.99868083,2342.38990783691,1.0162495556568405,0.8370543644643612
ML100k,100,4,2,75,25,372.528293132782,1205.80496501923,1578.33925914764,0.952350451771395,0.8769570894364863
ML1M,5,1,3,5,5,18.7822840213776,186.994980812073,205.78126502037,1.1088845048796057,0.8857405241241875
ML100k,5,1,3,5,5,2.31452608108521,174.763206005096,177.081732988358,0.9365181944145989,0.8896770033988778
ML1M,20,1,3,5,5,27.6542799472809,191.774171113968,219.43165397644,1.0895804423783706,0.8778216112856394
ML100k,20,1,3,5,5,5.31320810317993,179.662940979004,184.980150938034,0.9570968447825691,0.8844244102334391
ML1M,50,1,3,5,5,43.5759139060974,195.729046106339,239.308960914612,1.0633879226503984,0.8698613445077978
ML100k,50,1,3,5,5,12.8039138317108,196.35188293457,209.159797906876,0.975778946738986,0.889174562838581
ML1M,100,1,3,5,5,77.0523080825806,216.567373991013,293.623697042465,1.0425377965990337,0.8660613259115604
ML100k,100,1,3,5,5,29.36168217659,242.812189817429,272.1778819561,0.9822590113209759,0.8894526565145031
ML1M,5,2,3,25,25,86.7307260036469,933.085213899612,1019.81992793083,0.8787160137029726,0.8578949809552678
ML100k,5,2,3,25,25,12.3378059864044,880.265398025513,892.607205152512,0.9552946967692432,0.8841114495793545
ML1M,20,2,3,25,25,133.329483985901,946.753266096115,1080.08575105667,0.8824482391157472,0.8416119735839845
ML100k,20,2,3,25,25,30.1379580497742,904.133613109589,934.274581193924,1.0473673366140877,0.8756865505878005
ML1M,50,2,3,25,25,248.244924068451,980.509766101837,1228.75869107246,0.9064134641033094,0.8403081827835807
ML100k,50,2,3,25,25,83.5802729129791,988.919677019119,1072.50395107269,1.0398192388865886,0.8750930922930267
ML1M,100,2,3,25,25,390.518275976181,1084.46777105331,1474.99006795883,0.9321642181098196,0.8398296105776646
ML100k,100,2,3,25,25,136.172075033188,1208.54761600494,1344.72368907928,0.9774349337240731,0.8772958614792911
ML1M,5,3,3,50,50,165.097543954849,1872.32802414894,2037.42956900597,0.8687448158084032,0.8580371718553395
ML100k,5,3,3,50,50,26.7229061126709,1764.78519797325,1791.51211500168,0.9702174560245681,0.88438349157444
ML1M,20,3,3,50,50,253.410078048706,1900.24205899239,2153.6561961174,0.8895549138745978,0.8413147054682562
ML100k,20,3,3,50,50,56.5403859615326,1815.95395088196,1872.49833798409,1.0807523529549932,0.8745820092404112
