datasets,lf,iter,cv,max_epoch_pmf,max_epoch_bpmf,pmf_time,bpmf_time,total_time,pmf_rmse,bpmf_rmse
ML1M,5,1,1,5,5,18.0942060947418,184.043089866638,202.142297029495,1.1111773520976402,0.8890628640533396
ML1M,20,1,1,5,5,27.4197840690613,186.558706998825,213.982491970062,1.0918518398543187,0.8769545988271669
ML1M,50,1,1,5,5,43.4704391956329,193.194576978683,236.669017076492,1.0650620731845937,0.8702913605733545
ML1M,100,1,1,5,5,79.4933228492737,213.999945878983,293.497271776199,1.0450223223846153,0.8662742474324834
ML1M,5,2,1,25,25,81.2247607707977,920.807244062424,1002.03600597382,0.8807318486912851,0.8566832241583591
ML1M,20,2,1,25,25,129.480319023132,934.111061096191,1063.5953810215,0.8819745122052443,0.8406028968627691
ML1M,50,2,1,25,25,237.512001991272,969.562570095062,1207.07860803604,0.9047896560088066,0.8392722603818407
ML1M,100,2,1,25,25,393.282160043716,1076.51401591301,1469.80017709732,0.9307201247011175,0.8385594616856893
ML1M,5,3,1,50,50,163.41366815567,1858.95286989212,2022.37053799629,0.8693584999671553,0.8568745755258577
ML1M,20,3,1,50,50,261.33337688446,1883.89576101303,2145.23313784599,0.8880324197630781,0.8404709033278959
ML1M,50,3,1,50,50,504.267109155655,1948.03180193901,2452.30290913582,0.9421774163583231,0.8383255399078138
ML1M,100,3,1,50,50,802.874689102173,2162.14837384224,2965.02704501152,0.9870031073008647,0.8375306316419974
ML1M,5,4,1,75,25,247.301654100418,929.743337154388,1177.0488011837,0.8676920843761402,0.8567133453926628
ML1M,20,4,1,75,25,381.037224054337,943.437590122223,1324.47881507874,0.896179929021355,0.8424513140293894
ML1M,50,4,1,75,25,712.679819107056,975.759902000427,1688.44372200966,0.965142121484984,0.8408370211723879
ML1M,100,4,1,75,25,1224.15615296364,1081.17567706108,2305.33683109283,1.0163241294778689,0.839628075368785
ML1M,5,1,2,5,5,17.998095035553,185.669290065765,203.670385122299,1.1130187781942384,0.8850276389824051
ML1M,20,1,2,5,5,28.655501127243,187.972570896149,216.631083011627,1.0940127865877687,0.8772198433041164
ML1M,50,1,2,5,5,43.4789619445801,195.153792142868,238.63675403595,1.067321211299809,0.8694563933906091
ML1M,100,1,2,5,5,82.2323689460754,216.862586021423,299.098942041397,1.046349101166994,0.8642112392998137
ML1M,5,2,2,25,25,83.5972490310669,929.640887975693,1013.2421309948,0.8766389623067474,0.8546636850607497
ML1M,20,2,2,25,25,130.340379953384,943.582015991211,1073.92539596558,0.8818229865513832,0.8386005873972281
ML1M,50,2,2,25,25,241.388550043106,974.499913930893,1215.89246296883,0.9028824304269316,0.8370800334210933
ML1M,100,2,2,25,25,401.833225011826,1080.54283189774,1482.37905693054,0.9298237521831849,0.836838780882886
ML1M,5,3,2,50,50,164.728527069092,1863.78648400307,2028.51901221275,0.8674841103731729,0.8535793314305402
ML1M,20,3,2,50,50,251.889441013336,1892.69933891296,2144.59278106689,0.8883344044561297,0.8380294445498769
ML1M,50,3,2,50,50,461.831753015518,1954.56864881516,2416.40440297127,0.941781838282547,0.8358281799078797
ML1M,100,3,2,50,50,784.788545131683,2165.07503390312,2949.86759495735,0.9863319415069352,0.8348132889398618
ML1M,5,4,2,75,25,240.355705022812,933.23200917244,1173.59170222282,0.8668177593738028,0.855736611823353
ML1M,20,4,2,75,25,385.045592069626,945.230406999588,1330.27899909019,0.896143162702891,0.8401950113515133
ML1M,50,4,2,75,25,710.883275032043,977.893169879913,1688.78044486046,0.9646826902944959,0.838561748403657
ML1M,100,4,2,75,25,1258.38722586632,1083.99868083,2342.38990783691,1.0162495556568405,0.8370543644643612
ML1M,5,1,3,5,5,18.7822840213776,186.994980812073,205.78126502037,1.1088845048796057,0.8857405241241875
ML1M,20,1,3,5,5,27.6542799472809,191.774171113968,219.43165397644,1.0895804423783706,0.8778216112856394
ML1M,50,1,3,5,5,43.5759139060974,195.729046106339,239.308960914612,1.0633879226503984,0.8698613445077978
ML1M,100,1,3,5,5,77.0523080825806,216.567373991013,293.623697042465,1.0425377965990337,0.8660613259115604
ML1M,5,2,3,25,25,86.7307260036469,933.085213899612,1019.81992793083,0.8787160137029726,0.8578949809552678
ML1M,20,2,3,25,25,133.329483985901,946.753266096115,1080.08575105667,0.8824482391157472,0.8416119735839845
ML1M,50,2,3,25,25,248.244924068451,980.509766101837,1228.75869107246,0.9064134641033094,0.8403081827835807
ML1M,100,2,3,25,25,390.518275976181,1084.46777105331,1474.99006795883,0.9321642181098196,0.8398296105776646
ML1M,5,3,3,50,50,165.097543954849,1872.32802414894,2037.42956900597,0.8687448158084032,0.8580371718553395
ML1M,20,3,3,50,50,253.410078048706,1900.24205899239,2153.6561961174,0.8895549138745978,0.8413147054682562
ML1M,50,3,3,50,50,469.495054960251,1962.07523393631,2431.57328891754,0.9442802396104072,0.8393514283577591
ML1M,100,3,3,50,50,744.953499078751,2173.7872428894,2918.7567460537,0.9894683719561309,0.8382220776054065
ML1M,5,4,3,75,25,244.582916021347,935.971174001694,1180.55809092522,0.867821313300924,0.8581776007163332
ML1M,20,4,3,75,25,386.769234895706,948.156095981598,1334.92933082581,0.8979209575419747,0.8437611131705354
ML1M,50,4,3,75,25,731.36044216156,980.854079961777,1712.21950817108,0.9672962348686199,0.8420377281017469
ML1M,100,4,3,75,25,1141.00968408585,1085.90557909012,2226.91926407814,1.0191472070530798,0.8399341012847187
ML1M,5,1,4,5,5,17.2849140167236,187.187412977219,204.476618051529,1.1119137499721095,0.888842678325052
ML1M,20,1,4,5,5,27.7174980640411,189.665359020233,217.38707113266,1.0925032776871861,0.877386009817278
ML1M,50,1,4,5,5,45.4546549320221,195.753489017487,241.21214389801,1.0662843573151064,0.8710863163183226
ML1M,100,1,4,5,5,88.5078139305115,216.915651082993,305.426466941833,1.045189913160349,0.8668767825772979
ML1M,5,2,4,25,25,83.173357963562,938.934812068939,1022.1121711731,0.8784278248846273,0.8612710760788067
ML1M,20,2,4,25,25,130.787714004517,953.470911979675,1084.26173210144,0.8830503292581132,0.8432710077956127
